职位,公司名称,地址,经度,纬度,网址
物流发货员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103008352.html?s=01&t=0
物流发货员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103055405.html?s=01&t=0
仓储统计员,天津万象恒远科技有限公司,铁东北路天穆都市产业园西三门旁（原丽海饭店）,117.1820926,39.22222336,https://jobs.51job.com/tianjin-bcq/103139753.html?s=01&t=0
诚聘物流发货员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103145150.html?s=01&t=0
诚聘发货员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103148881.html?s=01&t=0
调度,天津瀚成汽车救援有限公司,浩物汽车园,117.1817859,39.25254008,https://jobs.51job.com/tianjin-bcq/103161588.html?s=01&t=0
仓库管理员,天津市央天吉国际贸易有限公司,北辰区京津公路大通绿岛家园英智社创业园110,117.1558086,39.21517672,https://jobs.51job.com/tianjin-bcq/103162762.html?s=01&t=0
诚聘配送员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103219068.html?s=01&t=0
诚聘调度员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103219594.html?s=01&t=0
诚聘发货员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103292481.html?s=01&t=0
诚聘送货员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103292928.html?s=01&t=0
诚聘送货员,天津市北辰区威速货运代理中心,天津市北辰区景海物流园,117.1078234,39.20166442,https://jobs.51job.com/tianjin-bcq/103294002.html?s=01&t=0
理货员,广东坚朗五金制品股份有限公司,北辰区宜兴埠北辰科技园华泰道8号,117.2092441,39.21937808,https://jobs.51job.com/tianjin-bcq/103479774.html?s=01&t=0
天地华宇招聘仓管员,天地华宇集团,双街镇德利得物流园内,117.1172614,39.27642922,https://jobs.51job.com/tianjin-bcq/103519040.html?s=01&t=0
打单理货专员/制单检验配货员,天津市纽瑞金商贸有限公司,宜兴埠东马道,117.225467,39.20087603,https://jobs.51job.com/tianjin-bcq/56526733.html?s=01&t=0
仓库管理员,天津博瑞康机械制造有限公司,北辰科技园景祥路9号中重科技前行500米,117.2092441,39.21937808,https://jobs.51job.com/tianjin-bcq/59017521.html?s=01&t=0
仓库管理员,金米勒电气设备（天津）有限公司,天津市北辰科技园区高新大道76号,117.2763696,39.23670986,https://jobs.51job.com/tianjin-bcq/62122092.html?s=01&t=0
仓库管理员,天津市宝鸽电动自行车有限公司,北辰区双口镇近河北工业大学北辰校区   乘车路线：刘园站乘坐734路公交至渔坝口站下车,116.9945751,39.22706404,https://jobs.51job.com/tianjin-bcq/68515007.html?s=01&t=0
仓库管理员,天津创铭铝制品有限公司,天津北辰区陆路港物流装备园五纬路2号,117.3242313,39.25503785,https://jobs.51job.com/tianjin-bcq/70059364.html?s=01&t=0
库管,天津市启悦饲料有限责任公司,北辰科技园华实道,117.2092441,39.21937808,https://jobs.51job.com/tianjin-bcq/70865752.html?s=01&t=0
钢材仓库理货员,天津昊天国际贸易有限公司,北辰区南仓道与朝阳路交口灯塔油漆厂后身,117.1928069,39.20825711,https://jobs.51job.com/tianjin-bcq/77896875.html?s=01&t=0
