始发站,终点站,货物,日期,网址
北京,广东广州,普货,2018-10-12,http://www.56135.com/huoyuan/I9447208.html
北京,江苏盐城,普货,2018-10-12,http://www.56135.com/huoyuan/I9446862.html
北京,广东广州,普货,2018-10-12,http://www.56135.com/huoyuan/I9446861.html
北京,江西南昌,普货,2018-10-12,http://www.56135.com/huoyuan/I9446860.html
北京,河南郑州,普货,2018-10-12,http://www.56135.com/huoyuan/I9446859.html
北京,四川成都,普货,2018-10-12,http://www.56135.com/huoyuan/I9446858.html
北京顺义,河北石家庄,None,2018-10-12,http://www.56135.com/huoyuan/I9446649.html
北京,江西南昌,None,2018-10-12,http://www.56135.com/huoyuan/I9446619.html
北京,浙江杭州,None,2018-10-12,http://www.56135.com/huoyuan/I9446618.html
北京,四川成都,None,2018-10-12,http://www.56135.com/huoyuan/I9446617.html
北京,内蒙古兴安盟乌兰浩特,None,2018-10-12,http://www.56135.com/huoyuan/I9446616.html
北京,河南郑州,None,2018-10-12,http://www.56135.com/huoyuan/I9446615.html
北京,辽宁沈阳,None,2018-10-12,http://www.56135.com/huoyuan/I9446614.html
北京,内蒙古通辽,None,2018-10-12,http://www.56135.com/huoyuan/I9446613.html
北京,浙江温州,None,2018-10-12,http://www.56135.com/huoyuan/I9446612.html
北京,江西上饶横峰,None,2018-10-12,http://www.56135.com/huoyuan/I9446605.html
北京昌平,广西贺州,设备,2018-10-12,http://www.56135.com/huoyuan/I9446517.html
北京昌平,广东深圳,设备,2018-10-12,http://www.56135.com/huoyuan/I9446516.html
北京房山,贵州贵阳,普货,2018-10-12,http://www.56135.com/huoyuan/I9446514.html
北京昌平,湖南湘西吉首,设备,2018-10-12,http://www.56135.com/huoyuan/I9446513.html
北京丰台,云南昆明,普货,2018-10-12,http://www.56135.com/huoyuan/I9446512.html
北京,辽宁沈阳,普货,2018-10-12,http://www.56135.com/huoyuan/I9445928.html
北京,青海海西格尔木,None,2018-10-12,http://www.56135.com/huoyuan/I9445527.html
北京顺义,山西太原,普货,2018-10-12,http://www.56135.com/huoyuan/I9445030.html
北京,山东聊城,None,2018-10-12,http://www.56135.com/huoyuan/I9444995.html
北京,安徽合肥,普货,2018-10-12,http://www.56135.com/huoyuan/I9444949.html
